scenario_id,order_variant,condition,investment_depth,B_success,A_residue,uptake_correct,recognized_A_residue,behavior_valid,uptake_valid,RAR_upper,N,A_residue_count,recognized_A_residue_count,uptake_correct_count,A_residue_given_correct_uptake
shipping,0,FACT_FRESH_Y,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,FACT_FRESH_Y,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,FACT_SELF_X_THEN_Y,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,FACT_SELF_X_THEN_Y,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,FRESH_B,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,FRESH_B,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,FRESH_B,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,OTHER_A_JUSTIFY_THEN_B,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,OTHER_A_JUSTIFY_THEN_B,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,OTHER_A_JUSTIFY_THEN_B,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,SELF_A_FACTUAL_THEN_B,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,SELF_A_FACTUAL_THEN_B,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,SELF_A_FACTUAL_THEN_B,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,SELF_A_JUSTIFY_THEN_B,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,SELF_A_JUSTIFY_THEN_B,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,0,SELF_A_JUSTIFY_THEN_B,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FACT_FRESH_Y,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FACT_FRESH_Y,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FACT_SELF_X_THEN_Y,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FACT_SELF_X_THEN_Y,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FRESH_B,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FRESH_B,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,FRESH_B,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1,0.0
shipping,1,OTHER_A_JUSTIFY_THEN_B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,OTHER_A_JUSTIFY_THEN_B,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,OTHER_A_JUSTIFY_THEN_B,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,SELF_A_FACTUAL_THEN_B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,SELF_A_FACTUAL_THEN_B,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,SELF_A_FACTUAL_THEN_B,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,SELF_A_JUSTIFY_THEN_B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,SELF_A_JUSTIFY_THEN_B,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
shipping,1,SELF_A_JUSTIFY_THEN_B,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0
